-0.975,-0.075,1.125
-0.825,-0.075,0.975
-0.675,-0.075,0.975
-0.825,-0.075,1.125
-0.675,-0.075,1.125
-0.075,-0.525,0.825
-0.075,-0.375,0.825
-0.375,-0.525,0.975
-0.375,-0.375,0.975
-0.225,-0.525,0.975
-0.075,-0.525,0.975
-0.225,-0.375,0.975
-0.075,-0.375,0.975
-0.375,-0.225,0.975
-0.525,-0.075,0.975
-0.375,-0.075,0.975
-0.525,-0.075,1.125
-0.225,-0.225,0.975
-0.075,-0.225,0.975
-0.225,-0.075,0.975
-0.075,-0.075,0.975
-1.425,-1.275,2.325
-1.275,-0.975,2.175
-1.425,-1.125,2.325
-1.275,-1.125,2.325
-1.425,-0.975,2.325
-1.275,-0.975,2.325
-1.425,-0.825,2.325
-1.425,-0.675,2.325
-1.275,-0.675,2.325
-2.175,-0.225,2.325
-2.175,-0.075,2.325
-1.875,-0.225,2.175
-2.025,-0.075,2.175
-1.875,-0.075,2.175
-2.025,-0.225,2.325
-1.875,-0.225,2.325
-2.025,-0.075,2.325
-1.875,-0.075,2.325
-1.425,-0.525,2.325
-1.425,-0.375,2.325
-1.725,-0.075,2.175
-1.725,-0.225,2.325
-1.425,-0.225,2.325
-1.275,-0.225,2.325
-1.425,-0.075,2.325
-1.275,-0.075,2.325
-0.675,-0.825,1.575
-1.125,-0.075,1.275
-0.975,-0.075,1.275
-0.825,-0.075,1.275
-0.675,-0.075,1.275
-0.825,-0.075,1.725
-0.525,-0.075,1.275
-0.975,-0.225,2.175
-1.125,-0.075,2.175
-0.975,-0.075,2.175
-1.125,-0.225,2.325
-0.975,-0.225,2.325
-1.125,-0.075,2.325
-0.975,-0.075,2.325
-2.625,-1.575,2.925
-2.475,-1.575,2.925
-2.475,-1.875,3.375
-2.475,-2.025,3.525
-2.625,-1.875,3.525
-2.475,-1.875,3.525
-3.075,-1.725,3.225
-3.075,-1.575,3.225
-3.075,-1.425,3.225
-3.075,-1.275,3.225
-3.225,-1.725,3.375
-3.075,-1.725,3.375
-3.225,-1.575,3.375
-3.075,-1.575,3.375
-3.075,-1.275,3.375
-2.775,-1.725,3.075
-2.775,-1.575,3.075
-2.925,-1.725,3.225
-2.775,-1.725,3.225
-2.925,-1.575,3.225
-2.775,-1.575,3.225
-2.625,-1.725,3.075
-2.475,-1.725,3.075
-2.625,-1.575,3.075
-2.475,-1.575,3.075
-2.475,-1.725,3.225
-2.625,-1.575,3.225
-2.475,-1.575,3.225
-2.775,-1.425,3.075
-2.775,-1.275,3.075
-2.925,-1.425,3.225
-2.775,-1.425,3.225
-2.925,-1.275,3.225
-2.775,-1.275,3.225
-2.55,-1.35,3.15
-2.775,-1.725,3.525
-2.775,-1.575,3.525
-2.55,-1.65,3.45
-2.925,-1.275,3.375
-2.775,-1.275,3.375
-2.625,-1.425,3.375
-2.475,-1.425,3.375
-2.625,-1.275,3.375
-2.475,-1.275,3.375
-2.625,-1.425,3.525
-2.475,-1.425,3.525
-2.475,-1.275,3.525
-2.475,-0.675,2.925
-2.475,-0.225,2.625
-2.775,-0.525,2.925
-2.775,-0.375,2.925
-2.625,-0.525,2.925
-2.475,-0.525,2.925
